Index,District,No_of_Accused,Category,Acts
1,AGAR,1,POCSO Cases,"[IPC- 363, 366, 370(2), 376(2))(n)] [POCSO- 5(l)/6]"
2,AGAR,1,POCSO Cases,"[IPC- 363, 366, 368, 370, 376] [POCSO- 5(l)/6]"
3,AGAR,2,POCSO Cases,"[IPC- 363, 366, 376(2)(n)] [POCSO- 3/4]"
4,AGAR,1,POCSO Cases,"[IPC- 376, 511, 450, 506] [POCSO- 7/8]"
5,AGAR,1,POCSO Cases,"[IPC- 354, 354(a), 506] [POCSO- 11/12]"
6,AGAR,1,POCSO Cases,"[IPC- 354, 354(d), 506, 509] [POCSO- 11(4)12]"
7,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376, 370] [POCSO- 7/8]"
8,AGAR,1,POCSO Cases,"[IPC- 363, 366 376(2)(n)] [POCSO- 3/4, 5(l)/6]"
9,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376(2)(n)] [POCSO- 3/4, 5(l)/6]"
10,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 5(l)/6]"
11,AGAR,2,POCSO Cases,"[IPC- 363, 366, 376(2)(n), 34] [POCSO- 7/8]"
12,AGAR,5,POCSO Cases,"[IPC- 363, 366, 376(2)(n), 366(k),343, 120(b), 34] [POCSO- 3/4]"
13,AGAR,1,POCSO Cases,"[IPC- 376(i), 342, 323, 506] [POCSO- 3/4]"
14,AGAR,2,POCSO Cases,"[IPC- 343, 363, 366, 376,] [POCSO- 5(l)/6]"
15,AGAR,2,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 3/4]"
16,AGAR,1,POCSO Cases,"[IPC- 363, 366. 376(2)(n)] [POCSO- 3/4, 5(l)/6]"
17,AGAR,1,POCSO Cases,"[POCSO- 5(l)/6] [IPC- 363, 366, 376(2), 506]"
18,AGAR,2,POCSO Cases,"[IPC- 354, 354(a), 506, 306, 511, 190, 34] [POCSO- 7/8]"
19,AGAR,1,POCSO Cases,"[IPC- 341, 354,354(a)] [POCSO- 11/12, 7/8]"
20,AGAR,1,POCSO Cases,"[IPC- 363, 366, 370(2), 376(2)] [POCSO- 5(l)/6]"
21,AGAR,2,POCSO Cases,"[IPC- 354, 354(d), 506, 34] [POCSO- 7/8]"
22,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376(2)(k)] [POCSO- 5(l)/6]"
23,AGAR,1,POCSO Cases,"[IPC- 363, 366, 370(a), 376] [POCSO- 5/6]"
24,AGAR,1,POCSO Cases,"[IPC- 363, 366, 376, 376(2)(n), 342, 34] [POCSO- 7/8]"
25,AGAR,1,POCSO Cases,"[IPC- 376, 376(2), 323,506] [POCSO- 3/4]"
26,AGAR,1,POCSO Cases,"[IPC- 354, 506] [POCSO- 7/8]"
27,AGAR,1,POCSO Cases,[IPC- 363] [POCSO- 7/8]
28,AGAR,1,POCSO Cases,"[IPC- 363,366, 376(2)(n)] [POCSO- 5(l)/6]"
29,AGAR,1,Sensational & Heinous,"[IPC- 376, 307]"
30,AGAR,7,Sensational & Heinous,"[IPC- 147, 148, 149, 307, 294, 506]"
31,AGAR,5,Sensational & Heinous,"[IPC- 302, 304]"
32,AGAR,3,Sensational & Heinous,[IPC- 376(2)]
33,AGAR,1,Sensational & Heinous,"[IPC- 376,506]"
34,AGAR,1,Sensational & Heinous,"[IPC- 307, 323, 294]"
35,AGAR,3,Sensational & Heinous,"[ARMs- 25(1-B) B, 26]"
36,AGAR,11,Sensational & Heinous,"[IPC- 147, 148, 307, 294]"
37,AGAR,1,Sensational & Heinous,"[IPC- 363, 366, 376(2) (1) , 376 (2)] [POCSO- 5/6]"
38,AGAR,1,Sensational & Heinous,"[IPC- 302, 201]"
39,AGAR,1,Sensational & Heinous,"[IPC- 376(2)1] [POCSO- 3(A),4, 5M/6]"
40,AGAR,1,Sensational & Heinous,"[IPC- 341, 354, 354A, 354d, 506] [POCSO- 7/8]"
41,AGAR,1,Sensational & Heinous,"[IPC- 307, 302]"
42,AGAR,2,Sensational & Heinous,"[IPC- 452, 323, 294, 302, 506, 34]"
43,AGAR,2,Sensational & Heinous,"[IPC- 366, 376(2)]"
44,AGAR,1,Sensational & Heinous,"[IPC- 342,363,376]"
45,AGAR,3,Sensational & Heinous,[IPC- 394]
46,AGAR,1,Sensational & Heinous,[IPC- 363 366 376 (2)J 376(2)M] [POCSO- 5/6]
47,AGAR,1,Sensational & Heinous,[IPC- 354b 506] [POCSO- 7/8]
48,AGAR,1,Sensational & Heinous,[IPC- 392]
49,AGAR,3,Sensational & Heinous,"[IPC- 304B, 498,]"
50,AGAR,5,Sensational & Heinous,"[IPC- 392,395,397,398,412,201,120b] [ARMs- 25,27]"
51,AGAR,1,Sensational & Heinous,"[IPC- 302, 397, 450, 460 IPC] [Atrocity- 3(2)V]"
52,AGAR,3,Sensational & Heinous,"[IPC- 452, 354A, 354D, 354, 294,506 IPC] [Atrocity- 3(2)(VA), 3(1)W] [POCSO- 7/8, 11(III)/12]"
53,AGAR,1,Sensational & Heinous,"[IPC- 354, 354(gha), 341 ipc] [POCSO- 7/8 pocso]"
54,AGAR,2,Sensational & Heinous,[NDPS- 8/20]
55,ALIRAJPUR,1,POCSO Cases,[IPC- 376(2)] [POCSO- 3/4]
56,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 366, 354A, 34] [POCSO- 7/8, 9(3)(4), 10]"
57,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366] [POCSO- 7/8]"
58,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)?? ,506] [POCSO- 5 ?? /6]"
59,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376 (2)] [POCSO- 5(N)/6]"
60,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 366, 376(2)N, 34] [POCSO- 7/8]"
61,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 7/8,3/4]"
62,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)N] [POCSO- 7/8]"
63,ALIRAJPUR,1,POCSO Cases,"[IPC- 376(2) A,] [POCSO- 5 (N)]"
64,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 376(2)N, 34] [POCSO- 3/4, 5/6]"
65,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)] [POCSO- 3/4, 5/6]"
66,ALIRAJPUR,2,POCSO Cases,"[IPC- 363,366,34,376(2)N] [POCSO- 7/8, 5/6]"
67,ALIRAJPUR,1,POCSO Cases,"[IPC- 354, 34] [POCSO- 7/8]"
68,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 366, 376, 506, 34] [POCSO- 3/4]"
69,ALIRAJPUR,1,POCSO Cases,[IPC- 376(2)] [POCSO- 3/4]
70,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 7/8]"
71,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)N] [POCSO- 7/8, 3/4, 5N6]"
72,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 506] [POCSO- 7/8]"
73,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2) N] [POCSO- 5(N), 6]"
74,ALIRAJPUR,3,POCSO Cases,"[IPC- 366, 376, 34] [POCSO- 7/8]"
75,ALIRAJPUR,1,POCSO Cases,"[IPC- 376(2)N, 506] [POCSO- 7/8]"
76,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 3/4]"
77,ALIRAJPUR,1,POCSO Cases,"[IPC- 354, 354 A, 323] [POCSO- 7/8]"
78,ALIRAJPUR,3,POCSO Cases,"[IPC- 363, 366, 34] [POCSO- 7/8]"
79,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366] [POCSO- 7/8]"
80,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366]"
81,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 366, 344, 368, 376(2)??,] [POCSO- 5(?)/6 ,3/4, 7/8]"
82,ALIRAJPUR,3,POCSO Cases,"[IPC- 365, 366, 376(2)(N), 323, 506, 34] [POCSO- 5L(6)]"
83,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 5(N)6]"
84,ALIRAJPUR,2,POCSO Cases,"[IPC- 363,366,376(2)N,34] [POCSO- 7/8]"
85,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 7/8,3/4]"
86,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2) N] [POCSO- 5(L) 6]"
87,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 376, 506, 34] [POCSO- 3/4]"
88,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 366, 34] [POCSO- 7/8]"
89,ALIRAJPUR,3,POCSO Cases,"[IPC- 452,354,323,34] [POCSO- 7/8]"
90,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366] [POCSO- 7/8]"
91,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366, 37692),N,344] [POCSO- 5/6,3/4]"
92,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366] [POCSO- 7/8]"
93,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376, 34] [POCSO- 3/4]"
94,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376, 343] [POCSO- 3/4]"
95,ALIRAJPUR,2,POCSO Cases,"[IPC- 363,366,376,34] [POCSO- 5/6]"
96,ALIRAJPUR,1,POCSO Cases,"[IPC- 354(D)(1)/2, 427, 509, 506] [POCSO- 11(1), 4/12]"
97,ALIRAJPUR,2,POCSO Cases,"[IPC- 354, 506, 34] [POCSO- 7/8] [ARMs- 25 B]"
98,ALIRAJPUR,1,POCSO Cases,"[IPC- 452,354(1),323] [POCSO- 7/8]"
99,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 3/4, 7/8]"
100,ALIRAJPUR,2,POCSO Cases,"[IPC- 363,366,376,506,34] [POCSO- 5(N)/6] [Othr- 39/192 MV Act]"
101,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376] [POCSO- 7/8]"
102,ALIRAJPUR,4,POCSO Cases,"[IPC- 363,366,376,378,506,370,372,373,34] [POCSO- 3/4]"
103,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 7/8,3/4]"
104,ALIRAJPUR,1,POCSO Cases,"[IPC- 341,363,366-A] [POCSO- 7/8]"
105,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,376(2)N] [POCSO- 5(1),6]"
106,ALIRAJPUR,1,POCSO Cases,[IPC- 376(2)N] [POCSO- 5(N)/6]
107,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366] [POCSO- 7/8]"
108,ALIRAJPUR,3,POCSO Cases,"[IPC- 363, 366, 376, 344, 34,] [POCSO- 7/8]"
109,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 7/8]"
110,ALIRAJPUR,2,POCSO Cases,"[IPC- 363,366(2)N,506,34] [POCSO- 7/8,3/4]"
111,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366-A, 376(2)N, 34] [POCSO- 3/4, 5(N)/6]"
112,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)] [POCSO- 7/8]"
113,ALIRAJPUR,1,POCSO Cases,
114,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366A, 376(2)N] [POCSO- 5(N)/6]"
115,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366] [POCSO- 7/8]"
116,ALIRAJPUR,2,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 7/8,3/4]"
117,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)N] [POCSO- 7/8, 5/6]"
118,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 5/6]"
119,ALIRAJPUR,1,POCSO Cases,[IPC- 354] [POCSO- 7/8]
120,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366] [POCSO- 7/8]"
121,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)N/34] [POCSO- 5(N)6]"
122,ALIRAJPUR,2,POCSO Cases,"[IPC- 354,34] [POCSO- 7/8]"
123,ALIRAJPUR,2,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 5/6]"
124,ALIRAJPUR,1,POCSO Cases,"[IPC- 294, 354] [POCSO- 7/8]"
125,ALIRAJPUR,1,POCSO Cases,"[IPC- 376(2)N,] [POCSO- 5(1)]"
126,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 376] [POCSO- 7/8]"
127,ALIRAJPUR,1,POCSO Cases,[IPC- 354] [POCSO- 7/8]
128,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 366, 376,506] [POCSO- 5/6, 7/8]"
129,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 376(2)N] [POCSO- 5(N)6]"
130,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366 A, 376(2)] [POCSO- 7/8]"
131,ALIRAJPUR,3,POCSO Cases,"[IPC- 363, 366, 376, 506] [POCSO- 3/4]"
132,ALIRAJPUR,1,POCSO Cases,[IPC- 354] [POCSO- 7/8]
133,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366] [POCSO- 7/8]"
134,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)N] [POCSO- 3/4]"
135,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)N] [POCSO- 3/4]"
136,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 366, 376D] [POCSO- 3/4]"
137,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 376] [POCSO- 7/8]"
138,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 376(2)N] [POCSO- 5(B), 6]"
139,ALIRAJPUR,2,POCSO Cases,"[IPC- 345(A)(D), 34] [POCSO- 7/8]"
140,ALIRAJPUR,3,POCSO Cases,[IPC- 354 A] [POCSO- 7/8]
141,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)N] [POCSO- 3/4]"
142,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366] [POCSO- 7/8]"
143,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366] [POCSO- 7/8]"
144,ALIRAJPUR,1,POCSO Cases,[IPC- 354] [POCSO- 7/8]
145,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366-A, 506] [POCSO- 7/8]"
146,ALIRAJPUR,1,POCSO Cases,"[IPC- 354 A,] [POCSO- 7/8]"
147,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 5(L)/6]"
148,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366, 376(2)N, 506] [POCSO- 5/6]"
149,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366,] [POCSO- 7/8, 3/6]"
150,ALIRAJPUR,1,POCSO Cases,"[IPC- 376(2)(i), 511, 506] [POCSO- 5(L)(N)/18]"
151,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)N] [POCSO- 5/6, 7/8]"
152,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 376-A, 342, 506] [POCSO- 3/4]"
153,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 5(N)/6]"
154,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)??] [POCSO- 3/4, 5?? /6]"
155,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(1)(2)??,??, ??, 344] [POCSO- 3/4, 5(??)/6]"
156,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 506] [POCSO- 3/4]"
157,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 7/8, 5(N)/6]"
158,ALIRAJPUR,1,POCSO Cases,[IPC- 376] [POCSO- 7/8]
159,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376] [POCSO- 7/8, 3/4]"
160,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376] [POCSO- 5/6]"
161,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 366, 506, 34] [POCSO- 7/8]"
162,ALIRAJPUR,1,POCSO Cases,[IPC- 354] [POCSO- 7/8]
163,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366] [POCSO- 7/8]"
164,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(1)(2)??, ??,??,344] [POCSO- 5(??)/6,3/4]"
165,ALIRAJPUR,2,POCSO Cases,"[IPC- 363, 366, 376, 506] [POCSO- 3/4, 5/6, 16/17]"
166,ALIRAJPUR,2,POCSO Cases,"[IPC- 354,354 A,294,506,34] [POCSO- 7/8]"
167,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376(2)N] [POCSO- 7/8, 5/6]"
168,ALIRAJPUR,1,POCSO Cases,"[IPC- 376, 376(2)N] [POCSO- 3/4, 5L/6]"
169,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 3/4]"
170,ALIRAJPUR,1,POCSO Cases,[IPC- 376] [POCSO- 3/4]
171,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 506] [POCSO- 7/8]"
172,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366] [POCSO- 7/8]"
173,ALIRAJPUR,2,POCSO Cases,"[IPC- 363,366,376,368,342] [POCSO- 3/4]"
174,ALIRAJPUR,2,POCSO Cases,"[IPC- 363,366,34,376] [POCSO- 3/4]"
175,ALIRAJPUR,3,POCSO Cases,"[IPC- 363,366,376(2),323] [POCSO- 5/6]"
176,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376(2)N] [POCSO- 7/8]"
177,ALIRAJPUR,2,POCSO Cases,[IPC- 354(?)] [POCSO- 7/8]
178,ALIRAJPUR,1,POCSO Cases,"[IPC- 363, 366, 376] [POCSO- 5(?)/6]"
179,ALIRAJPUR,2,POCSO Cases,"[IPC- 354 ?,(1)(??), 354?(1)(??), 452, 341,34] [POCSO- 7/8, 11(4)/12]"
180,ALIRAJPUR,1,POCSO Cases,"[IPC- 341, 363, 366, 34] [POCSO- 7/8]"
181,ALIRAJPUR,4,POCSO Cases,"[IPC- 363, 366] [POCSO- 7/8]"
182,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366] [POCSO- 7/8]"
183,ALIRAJPUR,1,POCSO Cases,"[IPC- 363,366,376] [POCSO- 7/8]"
184,ALIRAJPUR,1,Sensational & Heinous,"[IPC- 302] [ARMs- 25A, 27]"
185,ALIRAJPUR,1,Sensational & Heinous,[IPC- 302]
186,ALIRAJPUR,6,Sensational & Heinous,"[IPC- 395, 397]"
187,ALIRAJPUR,1,Sensational & Heinous,"[IPC- 302, 452]"
188,ALIRAJPUR,1,Sensational & Heinous,[IPC- 302]
189,ALIRAJPUR,1,Sensational & Heinous,[IPC- 302]
190,ALIRAJPUR,10,Sensational & Heinous,"[IPC- 452, 354, 323, 34]"
191,ALIRAJPUR,1,Sensational & Heinous,[IPC- 307]
192,ALIRAJPUR,5,Sensational & Heinous,"[IPC- 420,467,468,120B,506] [ITA- 66(d)]"
193,ALIRAJPUR,6,Sensational & Heinous,"[IPC- 302,120-B/34] [ARMs- 25,27,30]"
194,ALIRAJPUR,2,Sensational & Heinous,[IPC- 392]
195,ALIRAJPUR,5,Sensational & Heinous,"[IPC- 366, 376(d) IPC]"
196,ALIRAJPUR,2,Sensational & Heinous,"[IPC- 457, 380]"
197,ALIRAJPUR,8,Sensational & Heinous,"[IPC- 395, 120 B] [ARMs- 25, 27]"
198,ALIRAJPUR,9,Sensational & Heinous,"[IPC- 294,323,506,436,34]"
199,ALIRAJPUR,2,Sensational & Heinous,[IPC- 302]
200,ALIRAJPUR,2,Sensational & Heinous,[IPC- 394]
201,ALIRAJPUR,4,Sensational & Heinous,[IPC- 394]
202,ALIRAJPUR,5,Sensational & Heinous,"[IPC- 395] [ARMs- 25, 27-A]"
203,ALIRAJPUR,7,Sensational & Heinous,[IPC- 395]
204,ALIRAJPUR,1,Sensational & Heinous,[IPC- 302]
205,ALIRAJPUR,2,Sensational & Heinous,[IPC- 392]
206,ALIRAJPUR,2,Sensational & Heinous,"[IPC- 302, 34]"
207,ALIRAJPUR,4,Sensational & Heinous,"[IPC- 363,364A,368]"
208,ALIRAJPUR,3,Sensational & Heinous,"[IPC- 307,353,294,34]"
209,ALIRAJPUR,4,Sensational & Heinous,"[IPC- 302,34]"
210,ALIRAJPUR,1,Sensational & Heinous,"[IPC- 302, 201] [IPC- 302, 201]"
211,ALIRAJPUR,7,Sensational & Heinous,"[IPC- 395, 396]"
212,ALIRAJPUR,3,Sensational & Heinous,[IPC- 394]
213,ALIRAJPUR,2,Sensational & Heinous,[IPC- 392]
214,ALIRAJPUR,1,Sensational & Heinous,[IPC- 302]
215,ALIRAJPUR,3,Sensational & Heinous,"[IPC- 363,366,376(2)N,368,341,34] [POCSO- 5(L)/6]"
216,ALIRAJPUR,15,Sensational & Heinous,"[IPC- 395,397,186,353,332]"
217,ANUPPUR,1,POCSO Cases,"[IPC- 363,366,376] [POCSO- 3/4,5/6]"
218,ANUPPUR,1,POCSO Cases,"[IPC- 363,366,376] [POCSO- 3/4,5/6]"
219,ANUPPUR,1,POCSO Cases,"[POCSO- 363,366,376ipc 3/4 posco]"
220,ANUPPUR,3,POCSO Cases,"[IPC- 363,366A,376(2),N,368,34] [POCSO- 3,4,5L,6]"
221,ANUPPUR,1,POCSO Cases,"[IPC- 363,366(A),376] [POCSO- 3, 4]"
222,ANUPPUR,1,POCSO Cases,"[IPC- 363, 366A, 342, 506, 376(2)i,376(3)] [POCSO- 3,4]"
223,ANUPPUR,1,POCSO Cases,"[POCSO- 452,354ipc 7/8 pocso]"
224,ANUPPUR,1,POCSO Cases,"[IPC- 354A] [POCSO- 11,12]"
225,ANUPPUR,1,POCSO Cases,"[POCSO- 386,387,384,354ipc 7/8pocso]"
226,ANUPPUR,1,POCSO Cases,[POCSO- 354ipc 7/8pocso]
227,ANUPPUR,1,POCSO Cases,"[IPC- 376(2)N IPC] [POCSO- 3/4,5/6 POCSO ACT]"
228,ANUPPUR,1,POCSO Cases,"[POCSO- 454,354,506ipc 7/8pocso]"
229,ANUPPUR,3,POCSO Cases,"[IPC- 363,366(A),376,376(2)N,368,120B,506] [POCSO- 5/6,5L]"
230,ANUPPUR,1,POCSO Cases,"[IPC- 363,366,376] [POCSO- 3/4,5/6]"
231,ANUPPUR,1,POCSO Cases,"[IPC- 363,366a,376(2)] [POCSO- 3/4,5/6]"
232,ANUPPUR,1,POCSO Cases,"[IPC- 376,506 IPC] [POCSO- 5/6 POCSO ACT]"
233,ANUPPUR,1,POCSO Cases,"[POCSO- 363,366,376ipc 3/4, 5/6 pocso]"
234,ANUPPUR,1,POCSO Cases,"[IPC- 363,366,376(2)] [POCSO- 3/4,5/6]"
235,ANUPPUR,1,POCSO Cases,"[POCSO- 354,354-? ipc, 7/8 posco]"
236,ANUPPUR,4,POCSO Cases,"[POCSO- 363,366,376ipc 3/4 pocso]"
237,ANUPPUR,1,POCSO Cases,"[IPC- 363,366,376]"
238,ANUPPUR,2,POCSO Cases,"[POCSO- 294,323,506,366,34 ipc 7/8pocso]"
239,ANUPPUR,1,POCSO Cases,"[IPC- 363,366,376] [POCSO- 3/4,5/6]"
240,ANUPPUR,2,POCSO Cases,"[IPC- 457,354,354(?),506(??),34 ?????] [POCSO- 7/8,11/12 POCSO ACT]"
241,ANUPPUR,1,POCSO Cases,"[POCSO- 363,366,375ipc pocso 5/6]"
242,ANUPPUR,2,POCSO Cases,"[POCSO- 363,366,376ipc and 3/4 posco act]"
243,ANUPPUR,1,POCSO Cases,"[IPC- 363,366,376,450 IPC] [POCSO- 3/4 POCSO]"
244,ANUPPUR,1,POCSO Cases,"[POCSO- 363,366,376ipc 3/4 pocso] [POCSO- 363,366,376ipc 3/4 pocso]"
245,ANUPPUR,1,POCSO Cases,"[IPC- 363,366(A),376(2)N] [POCSO- 5,6]"
246,ANUPPUR,1,POCSO Cases,"[IPC- 363,366,376 IPC] [POCSO- 3/4 POCSO ACT]"
247,ANUPPUR,1,POCSO Cases,[IPC- 354] [POCSO- 7/8]
248,ANUPPUR,1,POCSO Cases,"[IPC- 376,376(2)N IPC] [POCSO- 3/4,5/6 POCSO ACT]"
249,ANUPPUR,1,POCSO Cases,"[POCSO- 341,354,354a, 506,34 ipc 11/12 pocso]"
250,ANUPPUR,1,POCSO Cases,"[IPC- 376,506 IPC] [POCSO- 5/6 POCSO ACT]"
251,ANUPPUR,1,POCSO Cases,"[IPC- 363,366(a),376(2)N,34,368] [POCSO- 3,4,5L,6]"
252,ANUPPUR,9,Sensational & Heinous,"[IPC- 365,364,34]"
253,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,201] [Atrocity- 3(2)(5)]"
254,ANUPPUR,1,Sensational & Heinous,"[IPC- 363,366,376 (2),342,506] [POCSO- 3/4]"
255,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,323]"
256,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,404,439]"
257,ANUPPUR,2,Sensational & Heinous,"[IPC- 302,201,341]"
258,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,201]"
259,ANUPPUR,4,Sensational & Heinous,"[IPC- 302,363,201,34]"
260,ANUPPUR,1,Sensational & Heinous,"[IPC- 450,302]"
261,ANUPPUR,1,Sensational & Heinous,"[IPC- 323,366,376(2)N,506]"
262,ANUPPUR,6,Sensational & Heinous,"[IPC- 489, 34]"
263,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,307]"
264,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,376] [Atrocity- 3-2-5]"
265,ANUPPUR,1,Sensational & Heinous,"[IPC- 363,366,376,307,34] [Atrocity- 3-2-5]"
266,ANUPPUR,3,Sensational & Heinous,"[IPC- 376,376(2),376(D)]"
267,ANUPPUR,1,Sensational & Heinous,"[IPC- 376,354,376(2)F] [POCSO- 3,4,5,6,7,8,9,10]"
268,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,450,323,506] [Atrocity- 3(2)5]"
269,ANUPPUR,1,Sensational & Heinous,"[IPC- 376,306,506] [Atrocity- 3(2)(5)]"
270,ANUPPUR,4,Sensational & Heinous,"[IPC- 328,379 ]"
271,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,201]"
272,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,294,323,506]"
273,ANUPPUR,4,Sensational & Heinous,"[IPC- 302,201] [Atrocity- 3(2)V]"
274,ANUPPUR,1,Sensational & Heinous,"[IPC- 302,201,498a]"
275,ANUPPUR,2,Sensational & Heinous,"[IPC- 364,365,302,201]"
276,ANUPPUR,2,Sensational & Heinous,"[IPC- 363,366,376,506,34] [POCSO- 5/6]"
277,ANUPPUR,1,Sensational & Heinous,[IPC- 302]
278,ANUPPUR,1,Sensational & Heinous,"[IPC- 376,450,323]"
279,ANUPPUR,1,Sensational & Heinous,"[IPC- 323,324,294,506,302]"
280,ASHOKNAGAR,1,Sensational & Heinous,
281,ASHOKNAGAR,1,Sensational & Heinous,
282,ASHOKNAGAR,1,Sensational & Heinous,"[IPC- 376,506/34] [POCSO- 3/4]"
283,ASHOKNAGAR,4,Sensational & Heinous,
284,ASHOKNAGAR,1,Sensational & Heinous,"[IPC- 376(2), 506, 5/6 ??????]"
285,ASHOKNAGAR,1,Sensational & Heinous,[IPC- 302]
